county,state,state_abbr,ssa,fips
Jefferson,Florida,FL,10320,12065
Lafayette,Florida,FL,10330,12067
Lake,Florida,FL,10340,12069
Lee,Florida,FL,10350,12071
Leon,Florida,FL,10360,12073
Levy,Florida,FL,10370,12075
Liberty,Florida,FL,10380,12077
Madison,Florida,FL,10390,12079
Manatee,Florida,FL,10400,12081
Marion,Florida,FL,10410,12083
Martin,Florida,FL,10420,12085
Miami-Dade,Florida,FL,10120,12086
Monroe,Florida,FL,10430,12087
Nassau,Florida,FL,10440,12089
Okaloosa,Florida,FL,10450,12091
Okeechobee,Florida,FL,10460,12093
Orange,Florida,FL,10470,12095
Osceola,Florida,FL,10480,12097
Palm Beach,Florida,FL,10490,12099
Pasco,Florida,FL,10500,12101
Pinellas,Florida,FL,10510,12103
Polk,Florida,FL,10520,12105
Putnam,Florida,FL,10530,12107
St. Johns,Florida,FL,10540,12109
St. Lucie,Florida,FL,10550,12111
Santa Rosa,Florida,FL,10560,12113
Sarasota,Florida,FL,10570,12115
Seminole,Florida,FL,10580,12117
Sumter,Florida,FL,10590,12119
Suwannee,Florida,FL,10600,12121
Taylor,Florida,FL,10610,12123
Union,Florida,FL,10620,12125
Volusia,Florida,FL,10630,12127
Wakulla,Florida,FL,10640,12129
Walton,Florida,FL,10650,12131
Washington,Florida,FL,10660,12133
Statewide,Florida,FL,10999,12990
Appling,Georgia,GA,11000,13001
Atkinson,Georgia,GA,11010,13003
Bacon,Georgia,GA,11011,13005
Baker,Georgia,GA,11020,13007
Baldwin,Georgia,GA,11030,13009
Banks,Georgia,GA,11040,13011
Barrow,Georgia,GA,11050,13013
Bartow,Georgia,GA,11060,13015
Ben Hill,Georgia,GA,11070,13017
Berrien,Georgia,GA,11080,13019
Bibb,Georgia,GA,11090,13021
Bleckley,Georgia,GA,11100,13023
Brantley,Georgia,GA,11110,13025
Brooks,Georgia,GA,11120,13027
Bryan,Georgia,GA,11130,13029
Bulloch,Georgia,GA,11140,13031
Burke,Georgia,GA,11150,13033
Butts,Georgia,GA,11160,13035
Calhoun,Georgia,GA,11161,13037
Camden,Georgia,GA,11170,13039
Candler,Georgia,GA,11180,13043
Carroll,Georgia,GA,11190,13045
Catoosa,Georgia,GA,11200,13047
Charlton,Georgia,GA,11210,13049
Chatham,Georgia,GA,11220,13051
Chattahoochee,Georgia,GA,11230,13053
Chattooga,Georgia,GA,11240,13055
Cherokee,Georgia,GA,11250,13057
Clarke,Georgia,GA,11260,13059
Clay,Georgia,GA,11270,13061
Clayton,Georgia,GA,11280,13063
Clinch,Georgia,GA,11281,13065
Cobb,Georgia,GA,11290,13067
Coffee,Georgia,GA,11291,13069
Colquitt,Georgia,GA,11300,13071
Columbia,Georgia,GA,11310,13073
Cook,Georgia,GA,11311,13075
Coweta,Georgia,GA,11320,13077
Crawford,Georgia,GA,11330,13079
Crisp,Georgia,GA,11340,13081
Dade,Georgia,GA,11341,13083
Dawson,Georgia,GA,11350,13085
Decatur,Georgia,GA,11360,13087
DeKalb,Georgia,GA,11370,13089
Dodge,Georgia,GA,11380,13091
Dooly,Georgia,GA,11381,13093
Dougherty,Georgia,GA,11390,13095
Douglas,Georgia,GA,11400,13097
Early,Georgia,GA,11410,13099
Echols,Georgia,GA,11420,13101
Effingham,Georgia,GA,11421,13103
Elbert,Georgia,GA,11430,13105
Emanuel,Georgia,GA,11440,13107
Evans,Georgia,GA,11441,13109
Fannin,Georgia,GA,11450,13111
Fayette,Georgia,GA,11451,13113
Floyd,Georgia,GA,11460,13115
Forsyth,Georgia,GA,11461,13117
Franklin,Georgia,GA,11462,13119
Fulton,Georgia,GA,11470,13121
Gilmer,Georgia,GA,11471,13123
Glascock,Georgia,GA,11480,13125
Glynn,Georgia,GA,11490,13127
Gordon,Georgia,GA,11500,13129
Grady,Georgia,GA,11510,13131
Greene,Georgia,GA,11520,13133
Gwinnett,Georgia,GA,11530,13135
Habersham,Georgia,GA,11540,13137
