lat,lng,fips
33.79444,-94.26819,5081
35.12286,-93.70927,5083
35.00246,-91.98193,5085
35.82736,-93.78939,5087
36.37882,-92.58506,5089
33.11619,-93.95382,5091
35.90486,-89.90133,5093
34.84674,-91.22427,5095
34.39144,-93.7639,5097
33.7154,-93.15366,5099
36.06169,-93.37471,5101
33.58632,-92.81988,5103
35.06646,-92.87931,5105
34.05413,-91.02035,5107
34.02446,-93.41941,5109
35.61566,-90.31656,5111
34.39982,-94.3894,5113
35.73421,-92.82794,5115
34.89726,-91.41028,5117
34.95755,-92.0565,5119
36.30007,-90.82186,5121
35.06487,-90.82211,5123
34.66296,-92.52895,5125
34.84201,-93.77212,5127
36.13546,-92.87199,5129
35.3664,-94.41576,5131
33.8235,-94.1255,5133
36.27499,-91.36557,5135
35.7885,-92.30834,5137
33.32732,-92.53611,5139
35.45672,-92.36836,5141
35.98467,-94.08077,5143
35.32021,-91.53608,5145
35.2454,-91.35116,5147
35.13524,-93.4137,5149
37.77516,-122.2748,6001
38.69153,-120.06182,6003
38.42593,-120.82498,6005
39.41,-121.36326,6007
38.06467,-120.62048,6009
39.01641,-122.06187,6011
37.86762,-121.58632,6013
41.79625,-124.00515,6015
38.88376,-120.98287,6017
36.19943,-120.42308,6019
39.46072,-121.93702,6021
40.79809,-124.15097,6023
32.78583,-114.54552,6025
36.529,-116.87036,6027
35.11188,-118.83076,6029
36.31336,-119.70856,6031
38.9763,-122.62313,6033
41.06347,-121.04102,6035
33.97397,-118.24953,6037
37.39375,-119.74444,6039
37.98,-122.50282,6041
37.49377,-119.64269,6043
39.20802,-123.68669,6045
37.02488,-120.62882,6047
41.17426,-120.85292,6049
37.89261,-118.56462,6051
35.84641,-120.94132,6053
38.18419,-122.26294,6055
39.19509,-120.977,6057
33.84611,-118.01169,6059
38.99059,-121.11038,6061
39.97548,-121.20865,6063
33.99574,-117.53399,6065
38.62585,-121.32828,6067
36.89992,-121.35126,6069
34.13762,-117.59998,6071
32.8064,-116.71229,6073
37.7797,-122.41924,6075
37.95945,-121.28753,6077
35.24175,-120.61711,6079
37.5135,-122.29905,6081
34.44012,-119.49415,6083
37.35753,-122.14445,6085
37.01015,-121.87763,6087
40.59649,-122.46005,6089
39.47444,-120.82258,6091
41.45328,-123.46342,6093
38.09407,-122.13216,6095
38.34186,-122.94952,6097
37.55434,-120.95139,6099
38.83995,-121.57133,6101
39.92647,-122.26526,6103
40.85342,-123.43175,6105
35.8588,-119.48757,6107
37.80468,-120.27191,6109
34.17598,-118.94504,6111
38.59294,-121.53916,6113
39.04589,-121.40381,6115
