state,county, TOT_MALE,TOT_FEMALE,% Age 0 to 4 years,% Age 5 to 9 years,% Age 10 to 14 years,% Age 15 to 19 years,% Age 20 to 24 years,% Age 25 to 29 years,% Age 30 to 34 years,% Age 35 to 39 years,% Age 40 to 44 years,% Age 45 to 49 years,% Age 50 to 54 years,% Age 55 to 59 years,% Age 60 to 64 years,% Age 65 to 69 years,% Age 70 to 74 years,% Age 75 to 79 years,% Age 80 to 84 years,%  Age 85 years or older,%  TOT_MALE,% TOT_FEMALE,fips
Indiana,Lawrence,22625,23043,5.55750197074538,5.712971884032584,6.47061399667163,6.126828413768941,5.432688096697906,5.691074713147062,5.388893754926864,5.8290268897258475,5.861872646054129,6.525356923885433,6.9698694928615215,7.368398002978014,7.046509590960848,6.295436629587457,5.1961986511342735,3.74222650433564,2.345187001839362,2.439344836647105,49.542349128492596,50.4576508715074,18093
Indiana,Madison,64792,64849,5.634791462577425,5.977275707530796,6.1870858756103395,6.2966191251224535,5.9718761811463965,6.593593076264454,6.096836648899654,6.2511088313110825,5.979589790266968,6.693869994831882,6.667643723821939,6.784890582454625,6.57276633163891,5.762837373978911,4.854174219575597,3.253600327057027,2.236175284053656,2.1852654638578843,49.978016214006374,50.021983785993626,18095
Indiana,Marion,460093,494577,7.217467816103993,6.935066567505002,6.675709931180409,6.158672630332995,6.881749714561053,9.083871913855049,7.817360972901631,6.982203274429907,5.924350822797407,5.864015837933527,5.846522882252506,6.30448217708737,5.701237076686184,4.43514512868321,3.0637812018812784,2.0816617260414594,1.3977604826798788,1.62893984308714,48.19393088711282,51.80606911288718,18097
Indiana,Marshall,23052,23196,6.3267600761114,6.573257221933922,7.574381594879778,6.981923542639682,5.859712852447673,5.699705933229545,5.202387130254281,5.788358415499049,5.825116761805916,6.0543158623075595,6.568932710603701,6.912731361356167,6.770022487458917,5.7126794672202035,4.227209825289742,3.2260854523438853,2.1925272444213806,2.503892060197198,49.84431759211209,50.155682407887916,18099
Indiana,Martin,5177,5040,6.038954683370853,6.1955564255652344,6.450034256631105,5.618087501223451,5.36360967015758,5.53978663012626,5.451698150141921,5.559361847900558,5.725751198982089,5.960653812273661,6.958989918762846,7.536458843104629,7.751786238621905,6.655574043261231,4.913379661348732,3.7486542037780173,2.42732700401292,2.104335910737007,50.6704512087697,49.3295487912303,18101
Indiana,Miami,19133,16434,5.184581212922091,5.491045069868136,6.441364185902662,6.157393089099446,6.03649450333174,6.879973008687829,6.292349649956421,6.4554221609919304,6.604436696938174,6.666291787330953,6.700030927545196,7.071161469901875,6.337335170242079,5.744088621474963,4.641943374476341,3.2811313858351845,1.8697106868726627,2.1452469986223184,53.79424747659347,46.20575252340653,18103
Indiana,Monroe,73034,73883,4.402485757264306,4.263631846552816,4.263631846552816,10.352103568681637,18.687422149921385,8.216203706854891,6.11093338415568,5.750185478875828,4.908894137506211,4.774804821770115,4.794543858096748,5.102200562222206,5.271003355636176,4.368452936011489,3.295738410122722,2.2890475574644187,1.4586467188957029,1.6900699034148532,49.71106134756359,50.28893865243641,18105
Indiana,Montgomery,19448,18898,5.86762634955406,6.5665258436342775,6.537839670369791,6.7829760600844935,6.352683461117197,6.211860428727898,5.604235122307411,5.591195952641736,5.520784436447087,6.167527251864601,6.699525374224169,7.421895373702602,6.749074218953736,5.400824075522871,4.3446513326031395,3.499713138267355,2.380952380952381,2.3001095290251916,50.71715433161216,49.282845668387836,18107
Indiana,Morgan,34819,35297,5.706258200695989,5.7690113526156654,6.818700439272063,6.617605111529465,5.516572536938788,5.883107992469622,5.43100005704832,5.848879000513435,5.8117975925608985,7.072565462947117,7.4419533344743,8.005305493753209,7.142449654857665,5.821781048548121,4.511095898225798,3.117690684009356,1.911118717553768,1.5731074219864225,49.65913628843631,50.3408637115637,18109
Indiana,Newton,7073,6938,5.3457997287845265,5.731211191206908,6.230818642495183,6.0095639140675186,4.974662764970381,6.0238384126757545,5.48854471486689,5.9239169224181,5.931054171722218,6.195132395974592,6.716151595175219,8.307758189993576,7.651131254014702,6.330740132752837,4.525016058810935,4.089643851259725,2.3053315252301765,2.219684533580758,50.48176432802798,49.51823567197202,18111
